Filename,konsentrasi logam (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),backgroud type,Light Type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B
0fe1_h.jpg,0,6 ; 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.2944444,187.0833333,202.4666667
0.1fe_h.jpg,"0,1",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,209.5666667,186.6777778,200.5333333
0.2fe_h.jpg,"0,2",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.6055556,186.7,202.8944444
0.3fe_h.jpg,"0,3",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.2,186.5944444,202.1611111
0.4fe_h.jpg,"0,4",6 ; 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.7277778,186.2888889,202.3555556
0.5fe_h.jpg,"0,5",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.5222222,188.3944444,203.0833333
0.6fe_h.jpg,"0,6",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.4944444,186.6444444,202.8833333
0.7fe_h.jpg,"0,7",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,212.2388889,187.0166667,202.3555556
0.8fe_h.jpg,"0,8",6 ; 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.3,186.7611111,201.65
0.9fe_h.jpg,"0,9",6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,209.7388889,185.8611111,201.3166667
0fe1_p.jpg,0,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.3166667,176.6388889,190.25
0.1fe_p.jpg,"0,1",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.9222222,175.6444444,189.2944444
0.2fe_p.jpg,"0,2",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.3833333,172.5333333,186.5777778
0.3fe_p.jpg,"0,3",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.0055556,176.2888889,190.5111111
0.4fe_p.jpg,"0,4",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,198.9611111,174.2166667,188.2277778
0.5fe_p.jpg,"0,5",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,198.8166667,174.45,187.9888889
0.6fe_p.jpg,"0,6",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.4388889,176.8555556,191.7
