Filename,konsentrasi (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),Background,Light type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B,R_norm,G_norm,B_norm,h,s,v,R_G_ratio,R_B_ratio,G_B_ratio
"0,1cu_H.jpg",0.1,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,206.42222222222225,185.52777777777777,198.82777777777775,0.8094989106753814,0.7275599128540304,0.7797167755991284,321.8080297793141,0.10122187533641963,0.8094989106753814,1.1126216439505348,1.0381960885502448,0.9331079335002536
"0,1cu_P.jpg",0.1,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.55555555555557,175.47222222222223,188.51111111111112,0.774727668845316,0.6881263616557735,0.7392592592592593,324.57358490566037,0.11178290213723287,0.774727668845316,1.125850872165485,1.0479783040010582,0.9308322478029646
"0,2cu_H.jpg",0.2,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.0,179.2277777777778,192.05,0.7803921568627451,0.7028540305010894,0.7531372549019608,321.0901938746839,0.09935790061418191,0.7803921568627451,1.1103189547795353,1.0361884871846472,0.9332349744573954
"0,2cu_P.jpg",0.2,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,183.09444444444443,163.91666666666666,174.92222222222222,0.7180174291938998,0.6428104575163398,0.6859694989106754,325.5677867902665,0.10474254331401531,0.7180174291938998,1.1169971123179299,1.0467191707930683,0.9370831427086652
"0,3cu_H.jpg",0.3,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.4055555555556,182.4,194.8388888888889,0.7976688453159043,0.7152941176470589,0.7640740740740741,324.4697170060831,0.10326933056564624,0.7976688453159043,1.1151620309232102,1.0439679453704136,0.9361580745200179
"0,3cu_P.jpg",0.3,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,179.83333333333334,162.1,172.62777777777777,0.7052287581699347,0.6356862745098039,0.6769716775599128,324.37969924812035,0.09860982391102888,0.7052287581699347,1.109397484416631,1.0417404116913955,0.9390145731335042
"0,4cu_H.jpg",0.4,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,208.55555555555557,191.9111111111111,201.53333333333333,0.8178649237472767,0.7525925925925926,0.790326797385621,325.3137516688918,0.07980820458177945,0.8178649237472767,1.086729961914909,1.0348439688424327,0.9522549296668351
"0,4cu_P.jpg",0.4,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.79444444444445,178.02777777777777,187.4333333333333,0.7717429193899782,0.6981481481481481,0.735032679738562,329.9289520426288,0.09536177060102201,0.7717429193899782,1.105414254985971,1.0499436780784321,0.9498191899055234
"0,5cu_H.jpg",0.5,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,206.77777777777777,190.2555555555556,198.7277777777778,0.8108932461873638,0.7461002178649239,0.7793246187363835,329.2333557498319,0.07990327780763012,0.8108932461873638,1.0868422532374113,1.0405076685781391,0.9573676952747706
"0,5cu_P.jpg",0.5,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,185.60555555555555,169.00555555555556,176.87777777777777,0.7278649237472767,0.6627668845315904,0.6936383442265794,331.5461847389559,0.08943697805980434,0.7278649237472767,1.0982216167226622,1.0493435457980453,0.9554934301153083
"0,6cu_H.jpg",0.6,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.37777777777777,181.24444444444444,190.52777777777777,0.7740305010893246,0.7107625272331155,0.7471677559912854,325.4752066115703,0.08173834721909472,0.7740305010893246,1.0890142166496273,1.0359527573561307,0.9512756911727767
"0,6cu_P.jpg",0.6,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.9611111111111,184.86666666666667,192.2722222222222,0.792004357298475,0.724967320261438,0.7540087145969498,334.00714982125453,0.08464225786042413,0.792004357298475,1.0924690408509308,1.0503915111944735,0.9614840020495502
"0,7cu_H.jpg",0.7,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,203.2888888888889,187.9333333333333,194.7111111111111,0.7972113289760349,0.7369934640522875,0.7635729847494553,333.51664254703326,0.075535636204635,0.7972113289760349,1.0817074555188797,1.0440538636176189,0.9651905907973548
"0,7cu_P.jpg",0.7,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.21666666666667,183.86666666666667,190.86666666666667,0.7890849673202615,0.721045751633987,0.7484967320261439,335.7925072046109,0.08622546177420685,0.7890849673202615,1.0943618504657622,1.0542263304878117,0.9633251783269725
"0,8cu_H.jpg",0.8,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,207.7,193.2333333333333,198.9388888888889,0.8145098039215686,0.7577777777777777,0.7801525054466232,336.3364055299537,0.06965174129353242,0.8145098039215686,1.0748663045978974,1.0440392027722902,0.9713200543204887
"0,8cu_P.jpg",0.8,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.8111111111111,181.6833333333333,186.02777777777777,0.7718082788671023,0.7124836601307188,0.7295206971677559,342.76900477414614,0.07686444983910132,0.7718082788671023,1.0832645263435279,1.0579662478592229,0.9766462542691854
"0,9cu_H.jpg",0.9,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,204.8111111111111,192.4611111111111,197.05,0.8031808278867102,0.7547494553376907,0.7727450980392158,337.70580296896077,0.06029946291976337,0.8031808278867102,1.0641688020220423,1.0393865012520913,0.9767120534605381
"0,9cu_P.jpg",0.9,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.88333333333333,182.30555555555557,186.56666666666663,0.7760130718954248,0.7149237472766885,0.7316339869281044,343.5877318116977,0.07872203037704584,0.7760130718954248,1.0854487217619755,1.0606574894015144,0.9771603783012072
0cu(1)_H.jpg,0,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.91666666666663,176.9,193.28333333333333,0.783986928104575,0.6937254901960784,0.7579738562091504,317.2918175235336,0.11513130471029583,0.783986928104575,1.1301111675328177,1.0343192151367462,0.9152366944111234
