link ,Filename,konsentrasi (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),Background,Light type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B
100cu_H3P.jpg,100cu_H3P.jpg,100,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,198.56666666666666,188.4,187.63888888888889
100cu_H4P.jpg,100cu_H4P.jpg,100,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.97222222222223,188.53333333333333,188.38888888888889
100cu_P3P.jpg,100cu_P3P.jpg,100,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.65,186.55,183.7111111111111
10cu_H3P.jpg,10cu_H3P.jpg,10,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.66666666666666,194.66666666666666,194.67222222222222
10cu_H4P.jpg,10cu_H4P.jpg,10,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.30555555555554,199.12777777777777,198.57222222222222
10cu_P3P.jpg,10cu_P3P.jpg,10,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,194.83333333333334,184.61111111111111,182.26666666666668
10cu_P4P.jpg,10cu_P4P.jpg,10,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,190.74444444444444,178.86111111111111,177.5388888888889
10cu(100)_H3P.jpg,10cu(100)_H3P.jpg,10,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.9777777777778,186.7111111111111,186.32777777777778
10cu(100)_H4P.jpg,10cu(100)_H4P.jpg,10,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.75555555555556,185.26111111111112,185.25555555555556
1cu_H3P.jpg,1cu_H3P.jpg,1,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.95555555555555,189.2722222222222,195.7
1cu_H4P.jpg,1cu_H4P.jpg,1,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,213.12222222222223,194.46666666666667,203.7111111111111
1cu_P4P.jpg,1cu_P4P.jpg,1,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,176.00555555555556,160.8388888888889,166.98333333333332
20cu_H3P.jpg,20cu_H3P.jpg,20,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.5,187.74444444444444,188.13888888888889
20cu_H4P.jpg,20cu_H4P.jpg,20,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,199.62222222222223,187.40555555555557,187.37777777777777
20cu_P3P.jpg,20cu_P3P.jpg,20,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.4,186.36111111111111,184.0888888888889
2cu_H3P.jpg,2cu_H3P.jpg,2,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,205.13888888888889,191.9,193.86111111111111
2cu_H4P.jpg,2cu_H4P.jpg,2,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,205.67222222222222,188.0,193.17222222222222
